SEQ_NBR,SEQ_SCHD_START_DT,FLEET,BASE,DIVISION,SPOILAGE,TOTAL_BLOCKED_HRS,TOTAL_SPOILED_HRS,SEQ_CAL_DAYS,SEQ_DUTY_DAYS,SEQ_TTL_FLTTIME,MIN_FLYTIME_PER_LEG,MAX_LEGS_PER_DAY,SEQ_TTL_LEGS,MORETHAN2_321_LEGS,IN_SEQ_DHD,LAYOVER,SEQ_PATTERN,SEQ_START,FLIGHT_PATTERN,SEQ_START_HRS,SF_LOAD_TMS,clean_time,local_time,utc_flight_time,weather_time,VIS_MILES,PRECIP_INCHES,IS_STORM,IS_RAIN,IS_SPOILED,START_HOUR
16409,2024-03-01,320,DFW,D ,NOT SPOILED,5.79,,1,1,5,160,2,2,0,0,0,DFW-LAS-DFW,Starts7:3,1969-1969,7,2025-11-06 21:57:37.430,7:3,2024-03-01 07:03:00,2024-03-01 13:03:00,2024-03-01 12:50:00,9.993753,0.0,0.0,0.0,0,7
7245,2024-03-01,320,MIA,I ,FULLY SPOILED,6.45,6.45,1,1,6,183,2,2,0,0,0,MIA-SXM-MIA,Starts8:36,593-593,8,2025-11-06 21:57:37.430,8:36,2024-03-01 08:36:00,2024-03-01 13:36:00,2024-03-01 12:53:00,9.993753,0.0,0.0,0.0,1,8
19621,2024-03-01,737,DFW,I ,NOT SPOILED,6.49,,1,1,6,190,2,2,0,0,0,DFW-BZN-DFW,Starts8:27,817-817,8,2025-11-06 21:57:37.430,8:27,2024-03-01 08:27:00,2024-03-01 14:27:00,2024-03-01 13:47:00,9.993753,0.0,0.0,0.0,0,8
19665,2024-03-01,737,DFW,I ,FULLY SPOILED,6.98,6.98,1,1,6,207,2,2,0,0,1,DFW-GUA-DFW,Starts10:31,1013-496,10,2025-11-06 21:57:37.430,10:31,2024-03-01 10:31:00,2024-03-01 16:31:00,2024-03-01 15:46:00,9.993753,0.0,0.0,0.0,1,10
24362,2024-03-01,737,DCA,D ,NOT SPOILED,4.8,,1,1,4,138,2,2,0,0,1,DCA-MCO-DCA,Starts15:55,1721-958,15,2025-11-06 21:57:37.430,15:55,2024-03-01 15:55:00,2024-03-01 20:55:00,2024-03-01 20:52:00,9.993753,0.0,0.0,0.0,0,15
21005,2024-03-02,737,LGA,I ,FULLY SPOILED,8.05,8.05,1,1,8,230,2,2,0,0,1,JFK-PUJ-JFK,Starts7:0,1485-1485,7,2025-11-06 21:57:37.430,7:0,2024-03-02 07:00:00,2024-03-02 12:00:00,2024-03-02 12:00:00,9.936,0.0,0.0,0.0,1,7
27121,2024-03-02,737,ORD,D ,NOT SPOILED,16.96,,3,3,16,132,2,6,0,0,15,ORD-PHX-SAT-PHX-MSP-CLT-ORD,Starts6:0,319-2375-858-408-894-2279,6,2025-11-06 21:57:37.430,6:0,2024-03-02 06:00:00,2024-03-02 12:00:00,2024-03-02 12:00:00,9.936,0.0,0.0,0.0,0,6
16593,2024-03-02,320,DFW,D ,NOT SPOILED,15.69,,3,3,15,130,2,5,0,0,16,DFW-ORD-TUS-DFW-FAT-DFW,Starts6:15,2382-2537-2193-1770-2653,6,2025-11-06 21:57:37.430,6:15,2024-03-02 06:15:00,2024-03-02 12:15:00,2024-03-02 12:15:00,9.993753,0.0,0.0,0.0,0,6
19764,2024-03-02,737,DFW,I ,FULLY SPOILED,14.62,14.63,3,3,14,73,3,8,0,0,17,DFW-DEN-DFW-MSY-DFW-DSM-DFW-SAT-DFW,Starts7:3,1244-1244-2225-468-1286-2326-2759-2759,7,2025-11-06 21:57:37.430,7:3,2024-03-02 07:03:00,2024-03-02 13:03:00,2024-03-02 12:50:00,9.993753,0.0,0.0,0.0,1,7
16594,2024-03-02,320,DFW,D ,NOT SPOILED,16.42,,3,3,16,107,3,6,0,0,17,DFW-FLL-DFW-BNA-DFW-PSP-DFW,Starts7:3,1429-1429-2244-2583-2548-2425,7,2025-11-06 21:57:37.430,7:3,2024-03-02 07:03:00,2024-03-02 13:03:00,2024-03-02 12:50:00,9.993753,0.0,0.0,0.0,0,7
19767,2024-03-02,737,DFW,I ,NOT SPOILED,10.29,,2,2,10,73,3,6,0,0,13,DFW-SAT-DFW-QRO-DFW-IAH-DFW,Starts7:10,2028-2028-2868-781-1472-1472,7,2025-11-06 21:57:37.430,7:10,2024-03-02 07:10:00,2024-03-02 13:10:00,2024-03-02 12:50:00,9.993753,0.0,0.0,0.0,0,7
21463,2024-03-02,737,MIA,I ,FULLY SPOILED,17.49,17.5,3,3,17,128,3,6,0,0,18,MIA-DEN-MIA-RDU-MIA-POP-MIA,Starts8:41,1817-453-1891-1289-2329-2329,8,2025-11-06 21:57:37.430,8:41,2024-03-02 08:41:00,2024-03-02 13:41:00,2024-03-02 12:53:00,9.993753,0.0,0.0,0.0,1,8
16603,2024-03-02,320,DFW,D ,PARTIALLY SPOILED,16.54,7.3,3,3,16,71,3,8,0,0,13,DFW-TUS-DFW-SAT-LAX-SAT-DFW-MCI-DFW,Starts8:15,2720-2720-2374-2440-2299-2616-2110-2105,8,2025-11-06 21:57:37.430,8:15,2024-03-02 08:15:00,2024-03-02 14:15:00,2024-03-02 13:48:00,9.993753,0.0,0.0,0.0,1,8
