antecedents_str,support_train,confidence_train,lift_train,coverage_test,confidence_test,lift_test,ante_len,lift,confidence,support,antecedents_list
IN_SEQ_DHD_tok=IN_SEQ_DHD=YES,0.025803387684027228,0.9760479041916167,3.547580328411072,0.021787296898079764,0.9661016949152542,3.17115562403698,1,3.547580328411072,0.9760479041916167,0.025803387684027228,['IN_SEQ_DHD_tok=IN_SEQ_DHD=YES']
"DIVISION=I, IN_SEQ_DHD_tok=IN_SEQ_DHD=YES",0.023428842805129017,0.9801324503311258,3.269005643475038,0.01883308714918759,0.9607843137254902,3.153701723113488,2,3.269005643475038,0.9801324503311258,0.023428842805129017,"['DIVISION=I', 'IN_SEQ_DHD_tok=IN_SEQ_DHD=YES']"
"SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0], SEQ_TTL_FLTTIME_bin=SEQ_TTL_FLTTIME=(16.0, 39.0]",0.03799271806237138,0.5755395683453237,1.919579436767376,0.059084194977843424,0.55625,1.825848484848485,2,1.919579436767376,0.5755395683453237,0.03799271806237138,"['SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]', 'SEQ_TTL_FLTTIME_bin=SEQ_TTL_FLTTIME=(16.0, 39.0]']"
"MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0], SEQ_TTL_FLTTIME_bin=SEQ_TTL_FLTTIME=(16.0, 39.0]",0.022320721861643186,0.5090252707581228,1.6977363439171391,0.04098966026587888,0.5315315315315315,1.7447119847119847,2,1.6977363439171391,0.5090252707581228,0.022320721861643186,"['MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0]', 'SEQ_TTL_FLTTIME_bin=SEQ_TTL_FLTTIME=(16.0, 39.0]']"
"SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0], SEQ_START_HRS_bin=SEQ_START_HRS=(10.0, 14.0]",0.03292702232072186,0.5319693094629155,1.774260891170664,0.05723781388478582,0.5096774193548387,1.6729775171065493,2,1.774260891170664,0.5319693094629155,0.03292702232072186,"['SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]', 'SEQ_START_HRS_bin=SEQ_START_HRS=(10.0, 14.0]']"
"MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(0.999, 2.0], SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]",0.02944435649833782,0.5054347826086957,1.6857610991230891,0.055760709010339735,0.5033112582781457,1.6520810756572346,2,1.6857610991230891,0.5054347826086957,0.02944435649833782,"['MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(0.999, 2.0]', 'SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]']"
"MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0], start_month=5",0.025328478708247587,0.4347826086956522,1.4501170745144853,0.06610044313146234,0.5027932960893855,1.650380904012189,2,1.4501170745144853,0.4347826086956522,0.025328478708247587,"['MAX_LEGS_PER_DAY_bin=MAX_LEGS_PER_DAY=(2.0, 3.0]', 'start_month=5']"
"FLEET=320, SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]",0.051131866392274815,0.4946401225114854,1.6497580010058361,0.10044313146233383,0.5,1.6412121212121213,2,1.6497580010058361,0.4946401225114854,0.051131866392274815,"['FLEET=320', 'SEQ_DUTY_DAYS_bin=SEQ_DUTY_DAYS=(2.0, 4.0]']"
"FLEET=320, SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0]",0.053506411271173025,0.4821683309557775,1.6081612178709854,0.10635155096011817,0.4861111111111111,1.5956228956228957,2,1.6081612178709854,0.4821683309557775,0.053506411271173025,"['FLEET=320', 'SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0]']"
"LAYOVER_bin=LAYOVER=(16.0, 21.0], SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0]",0.050182048440715527,0.44273743016759776,1.4766485461292054,0.11336779911373708,0.4755700325732899,1.5610226038890533,2,1.4766485461292054,0.44273743016759776,0.050182048440715527,"['LAYOVER_bin=LAYOVER=(16.0, 21.0]', 'SEQ_CAL_DAYS_bin=SEQ_CAL_DAYS=(2.0, 3.0]']"
