SEQ_NBR,SEQ_SCHD_START_DT,FLEET,BASE,DIVISION,SPOILAGE,TOTAL_BLOCKED_HRS,TOTAL_SPOILED_HRS,SEQ_CAL_DAYS,SEQ_DUTY_DAYS,SEQ_TTL_FLTTIME,MIN_FLYTIME_PER_LEG,MAX_LEGS_PER_DAY,SEQ_TTL_LEGS,MORETHAN2_321_LEGS,IN_SEQ_DHD,LAYOVER,SEQ_PATTERN,SEQ_START,FLIGHT_PATTERN,SEQ_START_HRS,SF_LOAD_TMS
4062,2025-02-06,320,CLT   ,I ,NOT SPOILED,,,2,2,11,56,3,6,1,0,12,CLT-CUN-CLT-RDU-CLT-MCO-CLT,Starts10:25,1265-1210-1645-3026-3126-3126,10,2025-11-06 21:57:37.430
195,2024-04-17,777,DFW   ,I ,NOT SPOILED,19.42,,3,2,19,550,1,2,0,0,25,DFW-LHR-DFW,Starts15:15,50-51,15,2025-11-06 21:57:37.430
26551,2025-05-11,737,LAX   ,D ,NOT SPOILED,,,3,3,17,110,2,6,0,0,15,SNA-DFW-ABQ-DFW-RNO-DFW-SNA,Starts7:45,1382-9-1035-324-1361-2465,7,2025-11-06 21:57:37.430
18556,2024-12-31,737,DFW   ,I ,NOT SPOILED,,,1,1,7,190,2,2,0,0,1,DFW-NAS-DFW,Starts10:0,2585-2585,10,2025-11-06 21:57:37.430
20413,2024-07-06,737,MIA   ,I ,NOT SPOILED,5.5,,1,1,5,165,2,2,0,0,1,MIA-GUA-MIA,Starts11:11,2241-1258,11,2025-11-06 21:57:37.430
20182,2024-10-01,737,MIA   ,I ,NOT SPOILED,,,1,1,5,175,2,2,0,0,0,MIA-STT-MIA,Starts10:1,2490-2490,10,2025-11-06 21:57:37.430
5954,2024-09-16,320,DFW   ,I ,PARTIALLY SPOILED,10.36,3.23,2,2,10,123,3,4,0,0,12,DFW-DEN-DFW-IAD-DFW,Starts17:15,1322-1320-1390-1390,17,2025-11-06 21:57:37.430
8961,2025-04-09,320,MIA   ,I ,NOT SPOILED,,,2,2,10,76,2,4,0,0,15,MIA-DCA-SAT-DFW-MIA,Starts16:3,2412-1947-2609-3308,16,2025-11-06 21:57:37.430
21906,2024-04-06,737,MIA   ,I ,PARTIALLY SPOILED,11.56,5.58,2,2,11,160,3,4,0,0,18,MIA-AUS-MIA-SAL-MIA,Starts9:15,812-495-1751-1508,9,2025-11-06 21:57:37.430
5897,2024-11-07,320,DFW   ,I ,NOT SPOILED,,,1,1,5,165,2,2,0,0,0,DFW-MCO-DFW,Starts7:14,2119-2119,7,2025-11-06 21:57:37.430
